eng,fra,deu,rus,cmn,jpn,pes,vie,arb,kor,heb,guj,azj,tgk,snd,pbt
"Although three people were inside the house when the car impacted it, none of them were hurt.","Bien que trois personnes aient été présentes dans la maison quand la voiture l'a percutée, aucune n'a été blessée.","Obwohl sich drei Menschen im Haus befanden, als das Auto hineinraste, wurde keiner von ihnen verletzt.","Хотя внутри здания в тот момент, когда в него врезался автомобиль, находились три человека, никто не пострадал.",虽然车撞到房子时，房子里面有三个人，但最后并没有人受伤。,車の衝突時には３人が家の中にいましたが、怪我人はいませんでした。,اگرچه هنگام برخورد ماشین به خانه سه نفر در آنجا بودند، هیچ کدام صدمه ندیدند.,Mặc dù có ba người ở trong nhà khi chiếc xe đâm vào nhưng không ai bị thương.,بالرغم من تواجد ثلاثة أشخاص داخل البيت عند اصطدام السيارة به، إلا أنه لم يصب أحدٌ منهم.,"차가 집에 충돌했을 때 세 명이 안에 있었지만, 그들 중 한 명도 다치지 않았다.","למרות ששלושה אנשים היו בתוך הבית כשהמכונית פגעה בו, אף אחד מהם לא נפגע.","કારે તેને અસર કરી ત્યારે 3 લોકો ઘરની અંદર હતા તેમ છતાં, તેમાંથી કોઈને ઇજા પહોંચી ન હતી.",Maşın evə girən zaman evdə olan üç adamın heç biri xəsarət almayıb.,"Гарчанде ки ҳангоми бархӯрди мошин ба хона се нафар одам дар хона қарор дошта буданд ҳам, ягон нафари онҳо осеб надиданд.",جڏهن ڪار ان کي متاثر ڪيو جيتوڻيڪ ٽي ماڻهو گهر جي اندر هئا، انهن مان ڪنهن کي به ڪوبه نقصان نه رسيو.,حال دا چې کوم وخت چې موټر ورسره ټکر وکړ په کور کې درې کسان دننه ول، خو هیڅ یو یې زخمي نه شو.
"34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.","34 % des personnes interrogées partagent ce point de vue, et souhaitent que la reine Elizabeth II soit la dernière monarque à régner sur l'Australie.","34 Prozent der Befragten teilen diese Ansicht und wollen, dass Elisabeth II. die letzte australische Monarchin ist.","34% опрошенных разделяют эту точку зрения и хотят, чтобы королева Елизавета II стала последним монархом Австралии.",34% 的受访者一致表示，希望英国女王伊丽莎白二世成为澳大利亚的最后一任君主。,世論調査では34%の人がこの意見に賛成しており、エリザベス女王2世がオーストラリア最後の君主であることを望んでいます。,34 درصد آنهایی که در نظرسنجی شرکت دارند می‌خواهند که ملکه الیزابت دوم آخرین فرمانروای استرالیا باشد.,"34 phần trăm người trong cuộc thăm dò có cùng quan điểm này, họ muốn Nữ hoàng Elizabeth đệ nhị là nữ quốc vương cuối cùng của Úc.",يوافق 34 في المئة من الذين شملهم الاستبيان على وجهة النظر هذه، ويريدون أن تكون الملكة إليزابيث الثانية آخر ملكة لأستراليا.,여론 조사에서 34 퍼센트가 엘리자베스 2세가 호주의 마지막 군주이길 바란다는 의견을 보였습니다.,"34% ממשתתפי הסקר חולקים בהשקפה זו, ומעוניינים שהמלכה אליזבת השנייה תהיה המלכה האחרונה של אוסטרליה.","મતદાનમાં ભાગ લેનારાઓમાંના 34 ટકા લોકો આ મંતવ્ય ધરાવે છે, રાણી એલિઝાબેથ બીજા, ઑસ્ટ્રેલિયાના છેલ્લા શાસક બને.",Kraliçə II Yelizavetanın Avstraliyanın son kraliçası olmasını istəyənlərin sayı anketə görə 34 faiz təşkil edirdi.,"34 фоизи пурсидашудагон бо нуқтаи назаре, ки мехоҳанд охирин монархи Австралия Маликаи Елизавета II бошад, ҳамфикранд.",پول جو 34 سيڪڙو، راڻي ايلزبيٿ II کي آسٽريليا جو آخري بادشاهه بڻجڻ جي راءِ ڏين چاهين ٿا.,په نظرپوښتنه کې ۳۴ سلنه دغه نظر شریکوي، غواړي ملکه الیزابت II د آسټرالیا وروستی پاچا شي.
"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","Les critères qui déterminent une sous-culture comme distincte peuvent être linguistiques, esthétiques, religieux, politiques, sexuels, géographiques ou une combinaison de facteurs.","Die Eigenschaften, die eine Subkultur als solche abgrenzen, können sprachlicher, ästhetischer, religiöser, politischer, sexueller oder geographischer Natur oder eine Kombination dieser Faktoren sein.","Характеристики, которые определяют субкультуру как отдельную, могут быть лингвистическими, эстетическими, религиозными, политическими, сексуальными, географическими или сочетанием факторов.",让亚文化变得与众不同的特质，可能是语言、美学、宗教、政治、性别、地理或多种因素的组合。,サブカルチャーの特徴を決定付ける性質は、言語、美、宗教、政治、性、地理、またはそれらの要素の組み合わせかもしれません。,خصوصیاتی که یک خرده فرهنگ را متمایز می‌کند ممکن است خصوصیات زبانی، زیبایی شناختی، مذهبی، سیاسی، جنسی، جغرافیایی یا ترکیبی از این خصوصیات باشد.,"Các yếu tố xác định văn hóa vùng miền khác biệt nhau có thể là ngôn ngữ, thẩm mỹ, tôn giáo, chính trị, tình dục, địa lý hoặc sự kết hợp của các yếu tố này.",ربما تكون الصفات التي تحدد تميز ثقافة فرعية هي لغوية، أو جمالية، أو دينية، أو سياسية، أو جنسية، أو جغرافية، أو مجموعة من العوامل.,"하위문화를 명확하게 구분하는 특징은 언어적, 미적, 종교적, 정치적, 성적, 지리적 요소가 있으며, 이러한 요소들의 결합일 수도 있다.","התכונות שמגדירות תת-תרבות כנבדלת הן תכונות לשוניות, אסתטיות, דתיות, פוליטיות, מיניות, גאוגרפיות או שילוב של גורמים.","પેટાસંસ્કૃતિને અલગ રીતે નક્કી કરતા ગુણો ભાષાકીય, સૌંદર્યપ્રસાધન, ધાર્મિક, રાજકીય, જાતીય, ભૌગોલિક અથવા પરિબળોનું સંયોજન હોઈ શકે છે.","Bir alt mədəniyyəti ayrıca təsnifləndirən cəhətlər dil, estetika, dini, siyasi, cinsi, coğrafi amillər, yaxud da bunların bir vəhdəti olaraq dəyərləndirilə bilər.","Сифатҳое, ки зермаданиятро ҳамчун мафҳуми фарқкунанда муайян мекунанд, метавонанд лингвистӣ, эстетикӣ, динӣ, сиёсӣ, ҷинсӣ, ҷуғрофӣ ё омили омилҳо бошанд.",اهي خاصيتون جيڪي ذيلي ثقافت کي الڳ سمجهن ٿيون اهي ٻولي، جمالياتي، مذهبي، سياسي، جنسي، جغرافيائي، يا عمل جي مجموعو ٿي سگهن ٿيون.,هغه ځانګړتیاوې چې فرعي کلتور جلا ټاکي ممکن ژبپوهنه، جمالیات، مذهبي، سیاسي، جنس ، جغرافیایی یا د فاکتورونو ترکیب وي.
"New Kingdom ancient Egyptians marvelled at their predecessors monuments, which were then well over a thousand year old.","Les Égyptiens antiques du Nouvel Empire étaient émerveillés par les monuments de leurs prédécesseurs, qui avaient alors bien plus de mille ans.","Ägypter im antiken Neuen Reich bestaunten die Monumente ihrer Vorfahren, die damals gut tausend Jahre alt waren.","В новом царстве древних египтян восхищались памятниками, созданными их предшественниками более тысячи лет назад.",新王国时期的古埃及人惊叹于其前辈的已有一千多年历史的纪念碑。,新王国の古代エジプト人たちは、当時千年以上前に建てられた前身のモニュメントに驚嘆しました。,پادشاهی جدید مصریان باستان از دیدن بناهای تاریخی پیشنیانشان شگفت زده شد، بناهایی که قدمتی بیش از هزار سال داشتند.,Người Ai Cập cổ đại thời Tân Vương Quốc đã rất kinh ngạc trước những công trình của tổ tiên mà đến ngàn năm sau vẫn còn.,اندهش المصريون القدامى في المملكة الحديثة من آثار أسلافهم، والتي عمرت لما يزيد على ألف سنة.,고대 신왕국 이집트인들은 조상의 기념비적인 건축물을 보고 경탄했고 이것은 그 당시 기준으로 1000년은 족히 넘은 건축물이었습니다.,"מצרים עתיקים מהממלכה החדשה נדהמו מהמונומנטים של אבותיהם, שהיו אז בני יותר מאלף שנה.",નવા રાજ્યના પ્રાચીન ઇજિપ્શિયનો તેમના પૂર્વજોના જે સ્મારકોથી અભિભૂત થતાં તે એ સમયે એક હજાર વર્ષ કરતાં જૂનાં હતાં.,Qədim misirlilərin yeni Krallığı o zaman artıq min yaşını keçmiş olan sələflərinin abidələrinə heyrət etdilər.,"Мисриёни қадимаи Салтанати нав аз осорҳои маданияти гузаштаи пешгузаштагони худ, ки он замон таърихи беш аз ҳазорсола доштанд, ба ҳайрат меафтоданд.",نئي بادشاهت قديمي مصري پنهنجين بزرگن جا مقبرا ڏسي حيران ٿي ويا، اهي ان وقت هڪ هزار سال کان وڌيڪ پراڻا هئا.,نوي سلطنت د مصریانو پخواني تاریخي میراثي ځایونو حیران کړي دي کوم چې پخپل وخت کې د د زرګونو کلونو لپاره ښه ګڼل کیدل.
The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,"D’après le U.S. Corps of Engineers, une pluviométrie de 6 pouces pourrait ouvrir une brèche dans les digues précédemment endommagées.","Der US-amerikanische Ingenieurskorps schätzte , dass 6 Zoll Regen die schon zuvor beschädigten Dämme brechen lassen könnten.","По оценке начальника Инженерных войск США, 6 дюймов дождевых осадков могли прорвать поврежденные ранее дамбы.",美国陆军工兵部队估计，6 英寸的降雨量就可能冲垮之前损坏的堤坝。,米工兵隊は、以前に決壊した堤防が6インチの降水量で再び決壊する可能性があると推定しています。,سپاه مهندسی ارتش ایالات متحده تخمین زده که 6 اینچ باران می‌تواند از آب‌بندهای از قبل‌آسیب‌دیده نفوذ کند.,Quân đoàn Công binh Hoa Kỳ ước tính 6 inch nước mưa có thể làm vỡ những đoạn đê đã bị hư tổn từ trước.,قدر سلاح المهندسين الأمريكيين أن 6 بوصات من الأمطار يمكن أن تخترق السدود الترابية المتضررة سابقاً.,미국 공병대는 시간당 6인치의 강우량이 기 파손된 제방을 무너뜨릴 수 있다고 추정했다.,חיל ההנדסה האמריקני העריך ש 6 אינצ'ים של גשם עלולים לפרוץ את הסכרים שנפגעו בעבר.,યુ.એસ. કોર્પ્સ ઓફ એન્જિનિયર્સે અંદાજ મૂક્યો હતો કે અગાઉ ક્ષતિગ્રસ્ત ડેમ 6 ઇંચ વરસાદ થી તૂટી શકે.,"Amerika Birləşmiş Ştatlarının Mühəndislər Birliyi belə hesab edir ki, 6 düymlük yağıntı daha əvvəl zədələnmiş baryerləri qıra bilər.","Аз рӯи баҳодиҳии корпуси муҳандисии ИМА, ба воситаи сарбандҳое, ки пештар осеб дида буданд, 6 дюйм борон мерезад.",U.S. ڪارپس آف انجنيئرز اندازو لڳايو تہ 6 انچ واري برسات ڀڳل بندن ۾ گهارو وجهي سگهي ٿي.,د امریکا د متحده آیالاتو د انجینرانو ټولی تخمین کړی چې شپږ انچه باران کولای شي له وړاندې نه تخریب شوی بند ماتولای شي.
Several large television screens were installed in various places in Rome to let the people watch the ceremony.,Plusieurs grands écrans de télévision ont été installés à différents endroits à Rome pour permettre aux gens de regarder la cérémonie.,"Mehrere große Fernsehschirme wurden an verschiedenen Orten in Rom aufgestellt, so dass die Leute die Zeremonie ansehen konnten.","В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.",罗马各地安装了数个大型电视屏幕，供人们观看仪式。,ローマの各所には、人々に式典を見てもらおうと、大型テレビ画面がいくつも設置されていました。,چند نمایشگر تلویزیونی بزرگ در مکان‌های مختلف شهر رم نصب شدند تا مردم بتوانند مراسم را مشاهده کنند.,Một số màn hình truyền hình lớn được lắp đặt tại nhiều nơi ở Rome để mọi người có thể xem buổi lễ.,رُكّبت عدة شاشات تلفزيونية كبيرة في أماكن مختلفة في روما للسماح للجمهور بمشاهدة مراسم الجنازة.,대형 텔레비전 스크린 여러 대가 로마 곳곳에 설치되어 사람들이 장례식을 관람할 수 있도록 했습니다.,"במקומות שונים ברומא הותקנו מספר מסכי טלוויזיה גדולים, כדי לאפשר לאנשים לצפות בטקס.",રોમમાં લોકોને સમારોહ જોવા માટે વિવિધ સ્થળોએ અનેક મોટા ટેલિવિઝન સ્ક્રીન લગાવવામાં આવ્યા હતા.,Xalqın mərasimi izləməsini təmin etmək üçün Romanın müxtəlif yerlərində nəhəng televiziya ekranları quraşdırıldı.,"Дар минтақаҳои гуногуни Рим якчанд наворҳои калони телевизионӣ насб шуданд, то ин ки одамон маросимро тамошо карда тавонанд.",روم ۾ ڪيترين ئي جاين تي ماڻهن کي رسم ڏسڻ لاءِ ڪيترين ئي وڏين اسڪرينن وارين ٽيلي ويزنن کي نصب ڪيون ويو هو.,ډیر شمیر ستر تلویزونونه د روم په مختلفو ځایونو کې عیار شول تر څو خلک غونډه وکتلای شي.
"Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.","Les parasites peuvent contaminer la nourriture, provoquer des irritations ou, dans les cas les plus graves, provoquer des réactions allergiques, répandre du venin ou transmettre des infections.","Ungeziefer kann Nahrungsmittel zerstören, Reizungen hervorrufen oder schlimmstenfalls sogar allergische Reaktionen auslösen, Gift verabreichen oder Krankheiten übertragen.","Вредители могут портить еду, вызывать раздражение или, что ещё хуже, вызывать аллергические реакции, выделять яд или передавать инфекцию.",害虫会破坏食物，引起刺激性反应，在更严重的情况下会引起过敏反应，传播毒液或传染病。,害虫は食物を台無しにしたり、皮膚を刺したり、最悪の場合はアレルギー反応の原因になったり、毒を撒き散らしたり、感染症を媒介することがあります。,حیوانات موذی غذا را خراب می‌کنند، سبب آزار و اذیت می‌شوند یا در حالت بدتر سبب واکنش‌های حساسیت‌زا می‌شوند، زهر خود را پخش می‌کنند یا باعث انتقال عفونت‌ها می‌شوند.,"Các loài gây hại có thể làm hư thức ăn, gây kích ứng, hoặc trong trường hợp xấu nhất có thể gây dị ứng, phát tán độc tố, hay lây bệnh truyền nhiễm.",قد تُفسد الآفات الطعام، وتسبب الإزعاج، أو تسبب ردود فعل تحسسية في الحالات الأسوأ، وتنشر السم، أو تنقل العدوى.,"해충은 음식이 썩게 만들고 염증을 유발하거나, 더 나쁜 경우 알레르기 반응을 일으키고 독을 퍼뜨리거나 전염병을 옮길 수 있습니다.","מזיקים יכולים לקלקל מזון, לגרום גירויים, או במקרים חמורים יותר לגרום לתגובות אלרגיות, לפזר רעל או להעביר זיהומים.","પાળેલાં પશુ-પક્ષી ખોરાક બગાડી શકે, ચીડ ચડાવી શકે અથવા બદતર કિસ્સામાં ઍલર્જી ઉત્પન્ન કરી શકે, ઝેર ફેલાવી શકે અથવા ચેપ લગાડી શકે.","Ziyanvericilər ərzaqı korlaya, qıcıqlandırmaya səbəb ola və ya ən pis halda allergik reaksiyalar yarada, zəhər yaya və ya infeksiyaya yoluxdura bilərlər.","Ҳашароти зараррасон метавонанд хӯрокро вайрон намоянд, сабаби варамкунӣ ё дар бадтарин ҳолат боиси вокуниши аллергӣ, паҳн шудани заҳр ё касалиҳои сироятӣ гарданд.",جيت کاڌو خراب ڪري سگهن ٿا، خارش جو ڪارڻ ٿي سگهن ٿا، يا ڪنهن بد تر صورتحال ۾ الرجڪ رد عمل جو سبب بڻجي سگهن ٿا، زهر ڦهلائي سگهن ٿا يا انفيڪشن منتقل ڪري سگهن ٿا.,خوۍ خواړه له منځه وړي، د خارښت سبب کېږي او په خراب حالت کې د الرژيکي عکس العملونو سبب ګرځي، زهر خوروي او یا عفونیت لېږي.
"It is obvious enough that the world has changed much because of humankind's scientific and technological advancements, and problems have become greater because of overpopulation and mankind's extravagant lifestyle.","Il est clair que le monde a beaucoup changé grâce aux progrès scientifiques et technologiques réalisés par les êtres humains, et que les problèmes sont devenus plus importants en raison de la surpopulation et du mode de vie extravagant de l'humanité.","Es ist wirklich offensichtlich, dass sich die Welt aufgrund der wissenschaftlichen und technologischen Fortschritte der Menschheit sehr verändert hat und dass die Probleme aufgrund von Überbevölkerung und der extravaganten Lebensweise der Menschen schwerwiegender geworden sind.","Вполне очевидно, что мир сильно изменился под влиянием научно-технического прогресса человечества, а из-за перенаселения и экстравагантного образа жизни людей проблемы стали масштабнее.",显而易见，由于人类的科学和技术进步，世界发生了很大的变化，而人口过剩和人类奢侈的生活方式使问题变得更为严重。,人類の科学技術の進歩によって世界は大きく変わり、過剰な人口と贅沢な生活が原因で問題が拡大したことは十分に明白な事実です。,پرواضح است که دنیا به‌خاطر پیشرفت‌های علمی و فناوری بشر تغییر کرده و مشکلات به دلیل جمعیت بسیار زیاد و شیوه زندگی عجیب و غریب بشر، بیشتر شده است.,"Rõ ràng thế giới đã thay đổi quá nhiều nhờ những thành tựu trong khoa học và công nghệ của con người, và các vấn đề cũng trở nên trầm trọng hơn do gia tăng dân số quá mức cùng với lối sống vô độ của con người.",إنه من الواضح بشكل كاف أن العالم تغير كثيراً بسبب التقدم العلمي والتقنية للبشرية، وأصبحت المشاكل أكبر بسبب زيادة السكاني ونمط الحياة المترف للإنسان.,"인류의 과학 기술 발전으로 세상이 많이 변했다는 것은 충분히 명백하고, 또 인구과잉과 인류의 사치스러운 생활방식 때문에 문제가 더 커졌다.","ברור מאליו שהעולם השתנה רבות בגלל ההתקדמות המדעית והטכנולוגית של האנושות, ובעיות התעצמו בגלל צפיפות אוכלוסין ואורח החיים הפזרני של האנושות.","એ તો સ્પષ્ટ છે કે માનવજાતની વૈજ્ઞાનિક અને ટેકનોલોજીકલ પ્રગતિને કારણે દુનિયા ઘણું બદલાઈ ગયી,અને વધારે વસ્તી અને માનવજાતની અતિશય જીવનશૈલીને કારણે સમસ્યાઓ વધુ વધી.","Açıq-aydın görünür ki, bəşəriyyətdə elmi və texnoloji sahədə baş verən uğurlar dünyanı fərqli bir yerə çevirib, insan sayının çox olması və insanların ekstravaqant həyat tərzinə göstərdiyi maraq problemlərin daha da artmasına səbəb olub.","Комилан равшану возеҳ аст, ки ҷаҳон дар натиҷаи пешрафти илмӣ-техникии инсоният хеле тағир ёфтааст ва мушкилот аз ҳисоби барзиёд шудани аҳолӣ ва тарзи исрофкори ҳаёти башарият бузургтар шуда истодааст.",اهو صاف ظاهر آهي تہ انسان ذات جي سائنسي ۽ ٽيڪنالاجيڪل واڌاري جي ڪري دنيا ۾ گهڻيون تبديليون اچي چڪيون آهن، ۽ وڌندڙ آبادي ۽ انسان ذات جو عيش واري زندگي جي ڪري مسئلا وڌي چڪا آهن.,دا تر ډیره واضح ده چې نړۍ د انسانیت د ساینسي او تکنالوژۍ د پرمختیا له کبله ډیره تغیر شوې او د زیات نفوس او د انسان د اصراف له وجې مشکلات نور هم ستر شوي.
The correlation between brain pathology and behaviour supports scientists in their research.,La corrélation entre la pathologie du cerveau et le comportement soutient les scientifiques dans leurs recherches.,Die Korrelation zwischen Gehirnpathologie und Verhalten stützt Wissenschaftler in ihrer Forschung.,Взаимосвязь между патологией мозга и поведением используется учёными в их исследованиях.,大脑病理和行为之间的相关性可以为科学家们的研究提供支持。,脳病理と行動の相関関係は、科学者たちの研究を裏付けるものです。,ارتباط بین آسیب‌شناسی مغز و رفتار پشتوانه تحقیق دانشمندان است.,Mối tương quan giữa bệnh lý não và cung cách ứng xử hỗ trợ cho các nhà khoa học trong quá trình nghiên cứu của họ.,يدعم الترابط بين علم أمراض الدماغ والسلوك العلماء في أبحاثهم.,뇌 병리와 행동 사이의 상관관계가 과학자들의 연구를 돕습니다.,המתאם בין פתולוגיה מוחית והתנהגות תומך במדענים במחקר שלהם.,મગજના રોગ અને વર્તણૂક વચ્ચેનો સંબંધ વૈજ્ઞાનિકોને તેમના સંશોધનમાં સમર્થન આપે છે.,Alimlərin tədqiqatları beyin patologiyası ilə davranış arasında əlaqəni təsdiqləyir.,Робитаи миёни патологияи майна ва рафтор олимонро дар таҳқиқот дастгирӣ менамояд.,دماغي پيٿالوجي ۽ رويي جي وچ ۾ لاڳاپو سائنسدانن کي انهن جي تحقيق ۾ مدد مهيا ڪري ٿو.,د دماغو د رنځ پېژندنې او چلند ساینسپوهانو سره په څېړنه کې ملاتړ کوي.
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,مانند سایر متخصصان، او با اشاره به اینکه این یافته‌ها ارتباطی با کسانی که از قبل دیابت نوع 1 دارند نداشته است، نسبت به قابلیت درمان دیابت تردید دارد.,"Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"다른 전문가들과 마찬가지로, 그는 당뇨병의 치료 여부에 회의적이며, 이러한 결과는 제1형 당뇨병 환자에게는 관련이 없음을 지적합니다.","כמו מומחים אחרים, הוא סקפטי בנוגע לשאלה אם ניתן לרפא סוכרת, ומציין שהממצאים הללו אינם רלוונטיים לאנשים שכבר יש להם סוכרת מסוג 1.","કેટલાક અન્ય નિષ્ણાતોની જેમ તેઓ પણ ડાયાબિટીસ મટી શકે કે કેમ એ અંગે શંકા ધરાવે છે, એ ધ્યાનમાં લેતા કે આ તારણોને ટાઈપ 1 ડાયાબિટીસ ધરાવતા લોકો સાથે કોઈ નિસ્બત નથી.","O da bəzi digər ekspertlər kimi şəkərli diabetin müalicə oluna biləcəyinə səthi inanır və onu da qeyd edir ki, əldə olunan nəticələrin artıq 1-ci tip şəkərli diabeti olan insanlarla heç bir əlaqəsi yoxdur.","Мисли баъзе коршиносони дигар ӯ шубҳа дорад, ки бемории қанд табобат карда мешавад ё не ва қайд кард, ки ин хулосаҳо ба шахсоне, ки аллакай бемории қанди навъи 1 доранд, иртибот надоранд.",ڪجهہ ٻين ماهرن وانگر، هي ان بابت شڪ ۾ آهي تہ آيا ذيابطيس جو علاج ڪري سگهجي ٿو، اهو نوٽ ڪندي تہ انهن نتيجن جو لاڳاپو انهن ماڻهن سان ناهي جنهن کان اڳ ۾ ئي ٽائپ 1 جي ذيابطيس آهي.,لکه د بعضې نورو متخصیصینو په شان، هغه په شک دې چې آیا د شکرې ناروغي به د تداوۍ وړ وي او که نه. که څه هم دا موندنې د هغو خلکو پورې اړه نلري چې له وړاندې اوله درجه د شکرې رنځ لري
