translation_id,topic,eng,fra,deu,rus,cmn,jpn,pes,vie,arb,kor,heb,guj,azj,tgk,snd,pbt
253,LAW,One bomb exploded outside the governor general's office.,Une bombe a explosé devant le bureau du gouverneur général.,Eine Bombe explodierte vor dem Bürogebäude des Generalgouverneurs.,Одна из бомб взорвалась возле офиса генерал-губернатора.,一枚炸弹在总督办公室外爆炸。,知事執務式の外で爆弾が爆発しました。,یک بمب در بیرون دفتر فرماندار کل منفجر شد.,Một quả bom đã phát nổ phía bên ngoài văn phòng toàn quyền.,انفجرت قنبلة واحدة خارج مكتب الحاكم العام.,폭탄 한 발이 총독 집무실 밖에서 폭발했다.,פצצה אחת התפוצצה מחוץ למשרד המושל הכללי.,ગવર્નર જનરલની ઓફિસની બહાર એક બૉમ્બ ફૂટ્યો હતો.,Qubernatorun ofisinin qabağında bir bomba partladı.,Як бомба дар назди дафтари генерал-губернатор таркид.,هڪ بم دهماڪو گورنر جنرل جي آفيس جي ٻاهران ٿيو.,د جنرل والي دفتر بهر یو بم وچاودید.
135,LAW,"Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.","Bientôt, des officiers équipés de matériel antiémeute pénétrèrent dans la cour et coincèrent les détenus avec des gaz lacrymogènes.","Bald betraten Polizisten, die mit Schutzanzügen ausgerüstet waren, das Gelände und drängten die Insassen mit Tränengas in die Ecke.","Вскоре надзиратели в защитном снаряжении прошли во двор и загнали заключенных в угол, применив слезоточивый газ.",很快，配备了防暴装备的警察进入了院子，并用催泪瓦斯把囚犯逼得走投无路。,まもなく暴動鎮圧用の装備を着用した警官たちが収容所に入り、催涙ガスで受刑者を追い詰めました。,کمی بعد، افسرهای مجهز به تجهیزات ضد شورش وارد حیاط شدند و زندانی‌ها را با گاز اشک‌آور محدود کردند.,Ngay sau đó các cảnh sát được trang bị công cụ chống bạo động tiến vào sân và dồn tù nhân vào góc bằng hơi cay.,سرعان ما دخل ضباط مجهزون بعدة الشغب الساحة وحاصروا النزلاء بالغاز المسيل للدموع.,"곧, 폭동 진압 장비를 갖춘 경찰들이 마당으로 진입해 최루 가스를 이용하여 수감자들을 코너로 몰아넣었습니다.",עד מהרה קצינים מצוידים בציוד לפיזור מהומות נכנסו לחצר ודחקו את האסירים לפינה באמצעות גז מדמיע.,"તરત જ, રમખાણ સમયે પહેરાતા સાધનોથી સજ્જ અધિકારીઓએ પ્રાંગણમાં પ્રવેશ કર્યો અને કેદીઓ પર અશ્રુ વાયુનો મારો કરીને ખૂણામાં ધકેલી દીધા.",Çevik qüvvələr qısa müddətdə həyətə daxil oldu və dustaqları gözyaşardıcı qazla bir küncə sıxışdırdı.,"Дере нагузашта, афсарони бо асбобҳои зидди бесарусомониҳо муҷаҳҳазшуда вориди ҳавлӣ шуданд ва маҳбусонро бо истифодаи гази ашковар ба кунҷ бурданд.",جلد ئي، حفاظتي لباس پاتل آفيسر اڱڻ ۾ داخل ٿيا ۽ آنسو گيس سان ڏوهين کي گهيري ورتا.,ژر کارمندان د بلوا ضد آلو سره مل حویلۍ ته دننه شول او بندیان یې د اوښکو غاز پواسطه یو کونج ته کړل
218,LAW,The early reports say the plane was diverted back to Afghanistan after being denied an emergency landing in Ürümqi.,Les premiers rapports indiquent que l’avion a été détourné vers l’Afghanistan après s’être vu refuser un atterrissage d’urgence à Ürümqi.,"Erste Berichte besagen, dass das Flugzeug zurück nach Afghanistan umgeleitet wurde, nachdem ihm die Notlandung in Ürümqi verweigert wurde.","В ранних сообщениях говорится, что самолёт возвратился в Афганистан после того, как ему было отказано в экстренной посадке в Урумчи.",早些时候的报道称，这架飞机被拒绝在乌鲁木齐紧急降落后，已返回阿富汗。,初期の報告では、この飛行機はウルムチへの緊急着陸を拒否された後、行く先を変更してアフガニスタンに向かったとされています。,گزارشات اولیه بیان می‌دارد که هواپیما پس از اینکه اجازه فرود اضطراری در اورومچی به آن داده نشده به افغانستان بازگشته بود.,Các báo cáo ban đầu cho biết máy bay đã chuyển hướng quay trở lại Afghanistan sau khi bị từ chối hạ cánh khẩn cấp ở Ürümqi.,"وتقول التقارير الاولية أنه تم تحويل طائرة العودة إلى أفغانستان بعد أن حرم بهبوط اضطراري في ""أورومتشي"".","초기 보고에 따르면, 이 비행기는 위르망키에 비상 착륙을 거부당한 후 아프가니스탄으로 돌려보내졌다고 한다.",הדיווחים המוקדמים אומרים כי המטוס הופנה בחזרה לאפגניסטן לאחר שנמנע ממנו לנחות נחיתת חירום באורומצ'י.,"પ્રારંભિક અહેવાલો અનુસાર, ઉરુમ્કીમાં ઇમરજન્સી લેન્ડિંગ ને નકારવામાં આવ્યા બાદ વિમાનને અફઘાનિસ્તાન પાછું ડાયવર્ટ કરવામાં આવ્યું હતું.","İlkin əldə olunan xəbərlərə görə təyyarənin Ürümqidə yerə təcili eniş etməsi rədd edilib, bundan sonra Əfqanıstana geri göndərilib.","Дар ҳисоботҳои пешакӣ гуфта мешуд, ки ҳавопаймо пас аз ҷавоби рад гирифтан барои фуруди фаврӣ дар Урумчи, бозгашта ба Афғонистон равона карда шуд.",شروعاتي خبرون ٻڌاين ٿيون تہ جهاز کي ارمڪي ۾ هنگامي لينڊنگ کان منع ڪرڻ کانپوءِ واپيس افغانستان جي طرف واپس موڙيو ويو هو.,لومړني راپورونه وایي چې چې په ارقومي کې د اضطراري ناستې د اجازه نه ورکول کیدو وروسته طیاره بیرته افغانستان ته ستنه شوې ده.
136,LAW,Fire rescue crews eventually doused the fire by 11:35 pm.,L’équipe des sapeurs pompiers a finalement éteint le feu à 23 h 35.,Die Feuerwehr konnte das Feuer schließlich um 23:35 Uhr löschen.,В результате бригады пожарных потушили пожар к 23:35.,消防救援人员最终在晚上 11 点 35 分扑灭了大火。,消防隊は最終的に午後11時35分までに火を消しました。,خدمه گروه آتش‌نشانی و نجات سرانجام در ساعت 11:35 بعدازظهر آتش را خاموش کردند.,"Tới 11:35 tối, đội cứu hỏa cuối cùng đã dùng nước dập được đám cháy.",وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء.,소방 구조 대원들이 결국 오후 11시 35분까지 불을 껐다.,צוותי כיבוי אש והצלה כיבו את לבסוף את השריפה ב-23:35.,ફાયર રેસ્ક્યુ ના કર્મચારીઓએ રાત્રે 11.35 વાગ્યા સુધીમાં આગ ને આગ ને ભડભડ કરી દીધી.,Yanğın 23:35-ə qədər yanğından mühafizə bölmələri tərəfindən söndürüldü.,Дар натиҷа гурӯҳҳои оташнишонӣ ва наҷотбахшӣ оташро соати 11:35 шаб хомӯш карданд.,فائر ریسڪيو عملدارن نيٺ آخر رات 11:35 تي باهه کي وسائي ڇڏيو.,اور مړ کوونکې ډلې بلاخره اور په 11:35 د شپې مړ کړ.
417,LAW,The Articles required unanimous consent from all the states before they could be amended and states took the central government so lightly that their representatives were often absent.,Les articles nécessitaient le consentement unanime de tous les États avant de pouvoir être amendés et les États prenaient le gouvernement central tellement à la légère que leurs représentants étaient souvent absents.,"Die Artikel erforderten die einstimmige Zustimmung aller Staaten, bevor sie geändert werden konnten, und die Staaten nahmen die Zentralregierung so wenig ernst, dass ihre Repräsentanten oftmals abwesend waren.","Для внесения поправок, согласно статьям, требуется единогласное одобрение всех штатов, но штаты так безответственно отнеслись к центральному правительству, что их представители часто отсутствовали.",这些条款必须得到所有州的一致同意才能进行修改，而各州对待中央政府的态度十分轻慢，以至于其州立代表经常缺席。,条項の改正には、全州から全会一致の同意が必要でしたが、各州は中央政府を軽視していたので、代表者が欠席することもしばしばでした。,پیش از اصلاح این بندها لازم بود تا موافقت متفق‌القول همه کشورها کسب شود و کشورها نیز باید نظر مثبت دولت مرکزی‌شان را حتی در صورت غایب بودن نماینده بدست آورند.,Điều lệ cần có sự nhất trí từ tất cả các bang trước khi sửa đổi và các bang xem nhẹ chính quyền trung ương đến mức đại diện bang thường xuyên vắng mặt.,تطلبت المواد الموافقة بالإجماع من قبل جميع الولايات قبل أن تُعدل واستهزأت الولايات من الحكومة المركزية لدرجة أن ممثليهم غالباً ما كانوا غائبين.,"이 조항들은 모든 주에서 만장일치의 동의를 얻어야만 수정이 가능했으며, 중앙 정부를 무시한 주 대표들은 대부분 회의에 불참석했습니다.","התקנון חייב הסכמה פה אחד מכל המדינות לפני שהיה ניתן להוסיף תיקון, והמדינות התייחסו לממשלה המרכזית בקלות ראש כה רבה עד שנציגיהן נעדרו לרוב.",લેખમાં સુધારો થાય તે પહેલાં તમામ રાજ્યોની સર્વાનુમતે સંમતિની આવશ્યકતા હતી અને રાજ્યોએ કેન્દ્ર સરકારને એટલી હળવાશથી લીધી કે તેમના પ્રતિનિધિઓ ઘણી વાર ગેરહાજર રહેતાં.,"Maddələrə dəyişiklik tətbiq olunmazdan əvvəl bütün ştatlardan anonim razılıq alınmalıdır, ştatlar isə mərkəzi hökumətə o qədər laqeyd yanaşırdılar ki, onları təmsil edən nümayəndələr adətən tez-tez görüşlərdən qalırdı.","Қабл аз тағйир додани моддаҳо, розигии якдилонаи ҳамаи кишварҳо талаб карда мешаванд ва давлатҳо нисбати ҳукумати марказӣ то ба дараҷае беаҳамиятӣ мекунанд, ки аксар вақт намояндагони онҳо ҳузур надоранд.",آرٽيڪل ۾ ترميم ٿي سگهي ان کان پهريان سڀني رياستن کان يڪ راءِ رضامندي جي ضرورت هئي ۽ رياستن مرڪزي حڪومت کي ايترو تہ هلڪو ورتو جو انهن جا نمائندا گهڻو ڪري غير حاضر رهيا.,دې خط کې د تغیر راوستلو وړاندې د ټولو ریاستونو بېشمېره رضایت ته اړتیا ده او ریاستونه مرکزي حکومت ډیر عادي اخلي چې خپل استازي یې کله کله غیرحاضر هم وي.
310,LAW,Rolando Mendoza fired his M16 rifle at the tourists.,Rolando Mendoza tira avec son fusil M16 sur les touristes.,Rolando Mendoza schoss mit seinem M16-Gewehr auf die Touristen.,Роландо Мендоса выстреливал из своей винтовки М16 в туристов.,罗兰多·门多萨 (Rolando Mendoza) 架起他的 M16 步枪对游客扫射。,ロランド・メンドーサはM16ライフルで観光客に発砲しました。,رونالدو مندوزا با اسلحه M16 خود به گردشگران شلیک کرد.,Rolando Mendoza đã bắn vào các du khách bằng khẩu súng trường M16 của hắn.,أطلق رولاندو ميندوزا النار من بندقيته م16على السياح.,롤란도 멘도자는 관광객들에게 M-16 소총을 발사했습니다.,רולנדו מנדוזה ירה ברובה ה-M16 שלו אל עבר התיירים.,રોલેન્ડો મેન્ડોઝાએ પ્રવાસીઓ પર તેમની એમ16 રાઇફલ ચલાવી હતી.,"Rolando Mendoza, özünün M16 tüfəngi ilə turistləri güllələdi.",Роландо Мендоза ба сӯи сайёҳон аз милтиқи тамғаи М16 оташ кушод.,رولانڊو مينڊوزا پنهنجي M16 رائفل سان سياحن تي فائر ڪيو.,رونالډو مینډوزا خپله M16 تفانچه پر سیاحینو باندې وډزوله.
107,LAW,"A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.","Un médecin exerçant à l'hôpital pour enfants de Pittsburgh, en Pennsylvanie, a été accusé de meurtre avec circonstances aggravantes après que sa mère ait été retrouvée morte dans le coffre de sa voiture mercredi, selon les autorités de l'Ohio.","Eine Ärztin, die im Kinderkrankenhaus von Pittsburgh (Pennsylvania) tätig war, wird wegen schweren Mordes angeklagt, nachdem ihre tote Mutter am Mittwoch im Kofferraum ihres Autos entdeckt wurde, sagen Behörden in Ohio.","Обвинение в убийстве при отягчающих обстоятельствах будет предъявлено врачу, которая работала в Детской больнице Питтсбурга, Пенсильвания, после того как в среду ее мать нашли мертвой в багажнике ее автомобиля, сообщают власти Огайо.",俄亥俄州当局表示，因星期三于一名医生的汽车后备箱中发现其母尸体，这位在宾夕法尼亚州匹兹堡儿童医院工作的医生将面临情节严重的谋杀罪指控。,ペンシルベニア州ピッツバーグの小児病院で働いていた医師は、水曜日に母親が車のトランクで死んでいるのが発見された後、加重殺人で起訴される予定であるとオハイオ州の当局は述べています。,مقامات ایالت اوهایو می گویند، یک پزشک که در بیمارستان کودکان پیتزبورگ پنسیلوانیا کار می کرد، پس از اینکه در روز چهارشنبه جسد مادرش در صندوق عقب خودرویش یافت شد، به قتل متهم خواهد شد.,"Một bác sĩ làm việc tại Bệnh viện Nhi Pittsburgh, Pennsylvania sẽ bị buộc tội giết người nghiêm trọng sau khi mẹ cô ta được tìm thấy đã chết trong cốp xe hơi của cô ta vào ngày thứ Tư, cơ quan thẩm quyền ở Ohio cho biết.",بحسب السلطات في أوهايو فإن طبيبةً قد عملت في مستشفى الأطفال في بيتسبرغ في ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد بعد أن عُثِرَ على أمها ميتة في صندوق سيارتها يوم الأربعاء.,펜실베이니아주 피츠버그 아동 병원에서 근무했던 한 의사의 어머니가 수요일 해당 의사의 차량 트렁크에서 숨진 채 발견되자 해당 의사를 가중 살인 혐의로 기소할 것이라고 오하이오주 당국이 밝혔습니다.,"רופאה שעבדה בבית החולים לילדים בפיטסבורג, פנסילבניה תואשם ברצח בנסיבות מחמירות לאחר שאמה נמצאה מתה בתא המטען של מכוניתה ביום רביעי, טוענות הרשויות באוהיו.",ઓહિયોના અધિકારીઓએ જણાવ્યું હતું કે પેન્સિલવેનિયાના પિટ્સબર્ગમાં ચિલ્ડ્રન્સ હોસ્પિટલમાં કામ કરતા એક ડૉક્ટર પર બુધવારે કારની ટ્રંકમાં તેની માતાનું મૃત્યુ થયા બાદ તેની હત્યાનો આરોપ મૂકવામાં આવશે.,"Ohayo rəsmilərinin sözlərinə görə, Pensilvaniya ştatının Pittsburq Uşaq Xəstəxanasının həkimi çərşənbə günü maşınının yük yerində ölü tapılan anasının xüsusi amansızlıqla öldürülməsində ittiham ediləcək.","Духтуре, ки дар беморхонаи кӯдаконаи Питтсбурги Пенсилвания фаъолият мекард, баъди дар бағоҷи мошинаш пайдо кардани ҷасади модараш, ба куштори вазнин айбдор карда мешавад, иттилоъ доданд ҳокимияти штати Огайо.",اوهاوي اختيارين چيو ته، هڪ ڊاڪٽر جيڪو پٽس برگ پنسلوانيا جي ٻارن جي اسپتال ۾ ڪم ڪندو هو، جنهن جي ماءُ اربع ڏينهن تي پنهنجي گاڏي جي ڊڪي ۾ مرده ملڻ بعد قتل و غارت جو الزام عائد ڪيو ويندوئ,په اوهایو کې چارواکي وايي چي یو طبيب چې د پنسلوانیا د پیټسبورګ د ماشومانو په روغتون کې يې کار کاوه، د چارشنبې په ورځ به په هغه تور ولګېد وروستو له هغې چي مور يي د موټر شا ته په ډيګئ کي مړه وموندل شوه۔
156,LAW,Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.,"Les responsables de la ville d’Amsterdam et du Musée Anne Frank affirment que l’arbre est infecté par un champignon et qu’il constitue un danger pour la santé publique, car ils soutiennent qu’il existe un danger immédiat de chute.","Beamte der Stadt Amsterdam und des Anne-Frank-Museums geben an, dass der Baum mit einem Pilz infiziert ist und eine Gefahr für die öffentliche Gesundheit darstellt, da er jederzeit umfallen könne.","Официальные представители властей Амстердама и музея Анны Франк заявляют, что дерево заражено грибком и представляет общественную опасность, так как есть непосредственная угроза его падения.",阿姆斯特丹市政府和安妮·弗兰克博物馆 (Anne Frank Museum) 的官员表示，这棵树感染了一种真菌，并会对公众健康造成威胁，因为据称它随时都有倒下的危险。,アムステルダム市職員やアンネ・フランク博物館員たちは、木が真菌に感染していて今にも倒れそうだと危険を訴え、公衆衛生上の危険にもつながると述べています。,مقامات شهر آمستردام و موزه آنه فرانک بیان داشتند که درخت مبتلا به یک قارچ شده است و خطری برای سلامت عموم می‌باشد و مردم فکر می‌کنند که این درخت هر لحظه در معرض خطر سقوط است.,Các nhà chức trách thành phố Amsterdam và Bảo tàng Anne Frank tuyên bố rằng cái cây đã bị nhiễm nấm và gây nguy hiểm tính mạng cho cộng đồng vì theo họ thì nó có nguy cơ sắp đổ.,صرّح المسؤولون عن مدينة أمستردام ومتحف آن فرانك أن الشّجرة مصابة بالفطريات وتشكّل خطراً على الصحة العامة حيث يقولون إنها كانت على وشك السقوط.,"암스테르담시와 안네 프랑크 박물관 관계자들은 이 나무가 곰팡이에 감염되어 있으며, 나무가 곧 넘어질 위험이 있다고 주장하면서 공중 보건 위험을 야기하고 있다고 말합니다.","בכירים בעיריית אמסטרדם ומוזיאון אנה פרנק טוענים כי העץ נגוע בפטרייה ומסכן את בריאות הציבור, שכן לטענתם הוא היה בסכנת נפילה מיידית.",એમ્સ્ટરડેમ શહેર અને એન્ની ફ્રેન્ક મ્યુઝિયમના અધિકારીઓ નું કહેવું છે કે આ વૃક્ષ ફૂગથી સંક્રમિત છે અને જાહેર આરોગ્ય માટે જોખમ ઊભું કરે શકે છે કારણ કે તેઓ દલીલ કરે છે કે તેનો પડવાનો ભય છે.,"Amsterdam şəhəri və Anne Frank muzeyinin səlahiyyətli şəxsləri, ağacın bir göbələk vasitəsilə infeksiyaya yoluxduğunu və yıxılma təhlükəsinin olduğunu iddia edərək ictimai sağlamlıq baxımından təhlükəli olduğunu bildirirlər.","Масъулини шаҳри Амстердам ва Осорхонаи Анна Франк иддао доранд, ки дарахт аз занбӯруғ сироят ёфтааст ва ба саломатии мардум хатар дорад, зеро, ба ақидаи онҳо, дарахтро хатари афтиши ҳатмӣ таҳдид мекунад.",ايمسٽرڊيم شهر ۽ ايني فرينڪ عجائب گهر جي عملدارن بيان ڏنو تہ اهو وڻ فنگس سان متاثر آهي ۽ ان ۾ عوام لاءِ خطرو موجود آهي جيئن تہ اهي دليل ڏين ٿا تہ اهو جلدي ڪنهن مٿي ڪرڻ جو خطرو هو.,د امستردام د ښار او د Anne Frank Meuseum چارواکي وایي چې ونه د فنجی پواسطه ککړه شوې او د عامه صحت لپاره یو خطر دی او هغوۍ استدلال کوي چې د غورځیدو د جدي خطر سره مخامخ وه.
259,LAW,The composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy (FTIR).,La composition de ces cristaux correspond à ce qui est trouvé dans l’urine des animaux domestiques affectés lorsqu’on compare par spectroscopie infrarouge (IRTF).,"Die Zusammensetzung dieser Kristalle entspricht der Zusammensetzung, die im Urin betroffener Haustiere gefunden wurde, wenn man sie mittels Infrarotspektroskopie (FTIR) vergleicht.","Во время сравнения при помощи инфракрасной Фурье-спектроскопии выяснилось, что состав этих кристаллов соответствует кристаллам, найденным в моче поражённых домашних животных.",通过红外光谱 (FTIR) 进行比较后发现，这些结晶的成分与在受影响宠物的尿液中发现的结晶成分吻合。,これらの結晶の組成は、赤外分光法（FTIR）で比較すると、患部のペットの尿中に見られるものと一致します。,نتیجه سنجش طیف سنجی مادون قرمز (طیف‌سنجی تبدیل فوریه فروسرخ) مشخص کرد ترکیب این بلورها با مواردی که در ادرار حیوانات خانگی مبتلا دیده می‌شود مطابقت دارد.,Thành phần của các tinh thể này khớp với những gì được tìm thấy trong nước tiểu của thú cưng bị mắc bệnh khi so sánh bằng quang phổ hồng ngoại (FTIR).,تكوين هذه البلورات متطابق مع تلك الموجودة في بول الحيوانات الأليفة المتأثرة عند مقارنتها بواسطة التحليل الطيفي بالأشعة تحت الحمراء (FTIR).,이러한 결정의 구성은 적외선 분광법(FTIR)과 비교했을 때 영향을 받은 애완동물의 소변에서 발견되는 결정과 일치합니다.,"הרכב הגבישים הללו תאם את אלה שנמצאו בשתן של חיות המחמד הנגועות, כשהשוו בינהם באמצעות ספקטרוסקופ אינפרה-אדום (FTIR).",જ્યારે ઇન્ફ્રારેડ સ્પેકટ્રોસ્કોપી વડે તુલના કરવામાં આવી હતી ત્યારે પ્રભાવિત પાલતું પ્રાણીઓના પેશાબમાં મળી આવેલા સ્ફટીકો સાથે આ સ્ફટીકોની રચના બંધ બેસે છે.,"İnfra qırmızı strektroskopiyadan (FTIR) istifadə edərək aparılan müşahidələrdə, bu kristalların tərkib birləşmələrinin, zərər görmüş heyvanların sidiyində tapılanlarla uyğunlaşdığı məlum oldu.",Таркиби кристаллҳои мазкур бо таркиби дар пешоби ҳайвоноти хонагӣ дучоршуда ҳангоми муқоиса бо истифодаи спектроскопияи инфрасурх (FTIR) мувофиқат мекунад.,انهن ڪرسٽلز جي جوڙجڪ متاثر ٿيل پالتو جانورن جي پيشاب مان مليل سان ميچ ڪري ٿي جڏهن انفراريڊ اسپيڪٽرواسڪوپي (FTIR) جي ذريعي ڀيٽايو ويو.,که چیرې د انفرایډ سپیکټروسکوپي (FTIR) سره پرتله شي، ددې کریسټالونو جوړیدل د کورني حیواناتو په تشو متیازو کې موندونکي هغو ته ورته دي.
133,LAW,"Negotiators tried to rectify the situation, but the prisoners' demands are not clear.","Les négociateurs ont essayé de rectifier la situation, mais les demandes des prisonniers ne sont pas claires.","Die Verhandlungsführer versuchten, die Situation zu entschärfen, aber die Forderungen der Häftlinge sind unklar.","Переговорщики попытались исправить ситуацию, но требования заключённых не ясны.",谈判人员试图扭转局面，但囚犯的要求并不明确。,交渉人たちは事態の収拾を図ろうとしたが、囚人の要求は明らかではない。,مذاکره‌کنندگان سعی کردند اوضاع را مرتب کنند ولی درخواست‌های زندانیان واضح نبود.,"Các nhà thương thuyết cố gắng xoay chuyển tình thế, nhưng các tù nhân đưa ra những yêu cầu không rõ ràng.",يحاول المتفاوضون تصحيح الوضع، ولكن مطالب السجناء غير واضحة.,"협상가들은 상황을 바로잡으려고 했지만, 포로들의 요구는 명확하지 않습니다.","המתווכים ניסו ליישר את ההדורים, אולם דרישות האסירים אינן ברורות.","વાટાઘાટકારોએ પરિસ્થિતિ સુધારવાપ્રયાસ કર્યો, પરંતુ કેદીઓની માગણીઓ સ્પષ્ટ નથી.","Danışıqlarda iştirak edən nümayəndələr, vəziyyəti düzəltməyə çalışsalar da, məhkumların tələbləri dəqiq deyildi.","Музокиракунандагон кӯшиданд, то вазъро ислоҳ намоянд, аммо талаботи маҳбусон нофаҳмо мебошад.",وچين ماڻهو حالت بهتر ڪرڻ جي ڪوشش ڪئي، پر قيدي جون گهرجون صاف ناهن.,مذاکره کوونکو هڅه وکړه چې وضعیت بیرته سم کړي خو د بندیانو غوښتنې واضح نه وې
